Step,GlobalTemperature,NumBlacks,NumWhites,Luminosity,AlbedoBlack,AlbedoWhite,AlbedoSurface
0,-1.4761862506371208,180,180,0.6,0.25,0.75,0.4
0,-2.161067265313817,217,172,0.6,0.25,0.75,0.4
1,-1.8235230059778986,225,171,0.6,0.25,0.75,0.4
2,-0.8133453628738984,337,164,0.6,0.25,0.75,0.4
3,0.4672244912512997,373,163,0.6,0.25,0.75,0.4
4,1.854474672149807,440,158,0.6,0.25,0.75,0.4
5,3.318140847201839,501,151,0.6,0.25,0.75,0.4
6,4.752973837667096,559,146,0.6,0.25,0.75,0.4
7,6.098212373532157,598,137,0.6,0.25,0.75,0.4
8,7.42120806159329,631,127,0.6,0.25,0.75,0.4
9,8.684935657745335,666,118,0.6,0.25,0.75,0.4
10,9.857566768829534,699,110,0.6,0.25,0.75,0.4
11,10.862091077197977,729,105,0.6,0.25,0.75,0.4
12,11.743910018908428,743,98,0.6,0.25,0.75,0.4
13,12.524337778626071,776,83,0.6,0.25,0.75,0.4
14,13.38690558542379,786,79,0.6,0.25,0.75,0.4
15,14.150573394449564,808,66,0.6,0.25,0.75,0.4
16,15.03687873120795,809,66,0.6,0.25,0.75,0.4
17,15.927110989100212,824,57,0.6,0.25,0.75,0.4
18,16.77395365110179,836,49,0.6,0.25,0.75,0.4
19,17.559681704462168,848,41,0.6,0.25,0.75,0.4
